# ID|主要防护时点及持续|补充方式及次数|耗尽/空窗与长期表现
1|S1/S2行动后小额治疗，S2防御2回合|随主动CD4重复，需治疗选中自身|无抗致命保护，治疗可溢出
4|S2击杀后300%攻击盾4回合|每次S2需击杀才补盾|未击杀无盾，破盾不能自动恢复
5|P2四层阈值屏障；P1净化后3回合暴率|屏障与净化各需结束4次行动后再触发|每次达最大生命10%的伤害消耗一层，多段可快速耗尽
6|P2致命保留1血，随后不死3回合|每场仅一次；S2击杀才回10%生命|结束不死后无常驻减伤、无稳定回血，不能按顶级续航
7|P2防御80%常驻；P1低血治疗20%|治疗需结束1次行动后再触发；S2周期自净化|治疗不能救致命伤，强度受伤害间隔影响
9|P1/P2生命增幅常驻|无主动自疗循环|容量稳定但没有额外续航
10|首次低于70%/40%生命触发4回合再生|两档阈值各有限触发，每行动回10%最大生命|再生到期后不保证可重触发，反伤不当减伤
13|生命20%常驻|无自疗|小额固定容量
14|S1击杀回复30%生命|主动反复自损，回复需击杀|自损先发生，击杀不足时续航负收益
15|生命每回合7%至20层；S1条件防御2回合|P1每4行动可净化并免控2回合|成熟生命需要20回合，初期不可按满生命防护
16|全体15%减伤/闪避常驻|S2周期治疗；普攻概率小额回血|概率闪避不等同确定阻绝，缺少抗致命机制
17|一次复活回30%生命；S2减伤2回合/CD5|S1可击杀续攻但无稳定回血，复活仅一次|复活与短减伤保护强，空窗较长
18|首回合500%攻击盾4回合|盾仅一次；S2按伤害回血50%可重复|破盾或第5回合失去盾，后续靠行动回血
19|低血大伤阈值截断，并将超量伤害转盾3回合|受击可触发，S1另有2回合抗暴|依赖先进入低血，阈值前的伤害不能追溯截断
20|开局自身闪避6回合；低血透明|透明一次、需其他友军仍在；S1再生4回合可重复|透明不等于无敌，友军全灭解除；主动还有生命自损
22|低于30%生命时减伤30%|血量满足时生效，回到30%以上解除|低血才保护、缺少续航，不能按常驻完整血条
23|S2伤害免疫2回合/CD4|可重复；常驻10%最大生命再生与S1吸血|免疫有行动前空窗，续航明显好于一次性短不死
24|闪避30%常驻|无回血|受命中克制，不能视作确定30%阻绝
26|低血触发5%再生，残局40%防御|再生可在条件下保持，S1/S2可治疗但目标受选择|不是全程高防御，无抗致命保障
27|弱化免疫3回合|每结束3次行动后可再次触发|抗弱化强但没有生命、减伤、回血
28|减伤30%/闪避30%常驻，超当前生命10%的部分阻绝65%|受击持续生效，S2按战技条件净化|阈值阻绝不等同全额65%，无稳定治疗
29|S1伤害40%护盾3回合；低血再生/隐身4回合|S1按CD4补盾，低血触发恢复20%最大生命|盾和再生均有条件，不能把满盾当常驻
30|自身抗暴4回合，邻位3回合|W每回合回复25%攻击生命|首轮抗暴到期后仅小额回复
32|生命30%常驻|S2治疗低血三人，可覆盖自身|无独立减伤或保命
33|吸血30%常驻|依赖每次实际造成伤害|不能提高抗致命阈值，低伤或禁疗时收益低
35|S2伤害30%盾4回合|每次S2/CD4按实际伤害重新生成|需要先行动，伤害不足盾量下降，不同来源共鸣不当自身盾
36|生命40%常驻，受击条件净化|S1伤害20%回复可循环|续航取决于实际伤害，受暴击分支改为夺取增益
37|S2伤害15%回复|主动CD4循环|无常驻抗致命防护，控制与减攻另评
38|生命30%/防御50%常驻，S1加防2回合|S2/CD6伤害40%盾，可补发|盾无固定回合不代表无限续航，长CD空窗明显
39|弱化抵抗100%常驻|无治疗|抗弱化不代表伤害防护
40|自身防御120%常驻|友军受击/闪避时回复7%损耗生命|回复基于损耗而非最大生命，不能反复全额回血
41|低血50%以下阻绝40%|条件持续，无回血|常态满血不享完整阻绝
42|双防150%常驻，S1盾/再生3回合|CD4补盾，前两次自身660%攻击盾，之后440%|前两次盾更强，常规空窗需保留，持续回复优于一次性盾
43|第2回合自净化或免疫3回合|仅该固定时点|后期无可重复防护
44|一次复活回10%生命并给自身五屏障|复活每场一次，屏障不反复补|短时重启强，屏障消耗后缺少稳定生命回复
45|三防成长至100%；大伤90%阻绝|大伤阻绝需结束1次行动后再触发|不能每段都阻绝90%；主动增益事件需叠层
46|减伤40%/物防20%常驻|吸血25%按实际伤害持续回复|魔法无物防保护，无额外保命
47|开局烈焰60%减伤2回合|击杀延长烈焰，低血再生4回合与主动伤害回复|无击杀烈焰早到期；高血加攻与低血防护不能同时取满
48|前4回合85%阻绝，之后60%|S2按直接伤害回复20%|强开局会回落，续航随直接伤害目标数变化
49|生命40%/抗暴常驻；一次致命保留1血|S1周期回20%生命，受物理攻击回35%承伤|魔法不触发该受击回复，挑衅提高受击压力
50|开局60%阻绝逐步变为40%|无稳定自身回血|成熟攻击与开局阻绝互斥，长线按40%而非60%
51|生命/抗暴30%常驻|P1每4行动弱化缩短；低血S2伤害35%全体回复|恢复需存活并施放，反伤不增加容量
52|双防常驻，净化后30%减伤3回合|P2需4行动再触发，S1伤害回复可循环|未触发前无减伤，物理更强
53|低血净化并300%攻击盾3回合|需结束4次行动后再触发；S2伤害30%回复|满血时无盾，致命伤前无法临时补盾
54|生命/防御常驻，阈值阻绝每回合衰减|S1周期小盾2回合，S2随机治疗|第11回合后无阻绝，随机友军治疗不保证选中
55|开局隐身2回合，受大伤后减伤15%两回合|减伤需4行动再触发|开局隐身不刷新，长线防护有限
56|生命60%常驻，20%至80%低血阻绝|S1/S2伤害回复；决死每行动自损，40回合到期|不能将高血容量和最低血80%阻绝直接相乘成常驻上界
57|首回合800%攻击盾6回合|盾仅一次；防御增益受击减持续并可重发|盾耗尽后仅防御，长持续不等于周期盾
58|生命/减伤30%常驻，初始8层大伤截断|S1每次补2层、耗尽时3层，S2吸血|多段可耗尽截断，需主动重新补层
59|无受控敌人时每回合500%攻击盾1回合|每回合条件补发；有受控敌人改为加攻加速|与控制队增伤分支互斥，不能同时算最强攻击和盾
60|高生命常驻|S1吸血40%4回合；受击回复30%承伤、上限15%最大生命|持续回复强但无独立减伤，致命一击无法回血
61|三屏障、一次致命回血100%，同来源同回合后续攻击阻绝70%|致命/初始屏障一次，阻绝按敌人与回合判定|第一段无连击阻绝；献身解除前还会代承友军伤害
62|生命50%/魔防100%常驻，防御增益5回合|主动可治疗，弱化事件消耗防御增益持续时间|缩短弱化会提前耗尽防御，物理相对弱
63|开局3层阈值屏障|暴击每两次可给幽冥主攻手补层，自身需满足选人|初始屏障不可默认稳定补给自身；配队不额外扣分
64|开局三屏障，受暴击叠抗暴|屏障不刷新，抗暴需2次受暴击成熟|后期仅抗暴，无续航
65|专长1700%上限自身盾、60%抗暴，盾3回合|每结束1次行动后可补发，新盾替换旧盾|需要消除10层引诱成熟；频繁补盾形成稳定防护
66|开局阈值结界2回合；低血盾3回合|结界仅开局，低血盾每场一次|前期保护后失去主防护，低血盾上限依赖敌人数
67|常驻防御50%，S1盾3回合|S1/CD4补盾，P2低血盾1回合、间隔4行动|双补盾渠道仍有空窗，不能合并盾值为常驻总盾
68|低血透明3回合|每场一次，需其他友军在场|到期后无持续抗伤机制
69|首回合1000%攻击盾4回合，减伤40%常驻|护盾仅一次，反伤特化还需满血|盾破/到期后仅减伤，不能按满盾评价长期续航
70|生命40%/防御100%常驻|无稳定自身治疗|固定容量，中期无额外成长
71|常态50%阻绝，毒来源/反伤75%|中毒需S1重复施加，无自身回血|不把敌方中毒覆盖直接当全伤害覆盖
72|攻击/受击叠双防，持续1回合|每回合重新积累，10次事件满100%|先手和回合切换有低层空窗
73|全队首击60%减伤、一次复活|复活后生命增加50%，仅一次|首击保护消耗后不回补，复活不是常驻不死
74|生命40%常驻；S1伤害100%盾2回合|S1/CD4生成新盾，增益延长有目标存活条件|盾值依赖目标当前生命与攻击封顶，不能当常量大盾
75|合理红队开局1000%攻击盾6回合、物防50%|盾仅一次，4次自损后S1有伤害回复10%|持续自损会消耗生命，盾破/到期后防护回落
76|防御/抗暴50%常驻|主动治疗低血目标，非所有治疗都选自身|其他友军生命成长不能计自身
77|开局隐身2回合，低血三屏障|低血屏障需4行动再触发|隐身可因低血解除，屏障按受击消耗
78|开局双防/减伤10回合，首回合800%攻击盾10回合|护盾仅一次|第11回合三项保护到期；配队满足也不等于长期防护
79|开局800%攻击盾6回合|前2回合在第5/10/15/20次受击可重发|第3回合起不再补盾，长线只保留剩余旧盾
80|自身来源攻击500%生命常驻|全体再生4回合/4行动，双主动10%自疗|再生不作主动恢复计数，抗爆发容量与续航分列
81|低血透明32回合|每场一次，需其他友军在场|不是伤害免疫，主攻手盾不能默认覆盖自身
82|受击回复最高80%承伤，每回合最多5次|前6回合吸血40%；受击回复可长期触发|一击致命不回复，不能将80%回复等同80%阻绝
83|常驻60%阻绝，首回合抗暴|前6回合末治疗，专武吸血15%常驻|第7回合失去被动群疗，仍有阻绝与吸血
84|低于75%时再生25%最大生命，共2回合|每场一次|到期无防护，无稳定回复
85|队友至少2人时40%阻绝，否则10%|S2低血周期治疗，高血分支不治疗|实际目标与低血分支影响续航
86|攻击后目标存活补屏障，最多4层|攻击可连续补层，满层转给其他主攻手|先手前无层，多段受到伤害可能耗尽
87|前6回合75%减伤，之后50%|无稳定回血|泡沫仅前两回合，后期按50%防护
88|开局结界2回合，满记忆80%生命盾2回合|记忆满层后净化；强化S2消耗后不再增长|大盾仅一次且短，无周期补发
89|专武生命22%是固定面板增量，双主动自损|没有技能减伤或稳定回血|自损持续消耗生命，不能因专武生命小幅增量当作有效续航
90|常驻60%减伤，200%生命盾/防御150%持续4回合|每4行动重新附加|盾耗尽到下次补发有空窗，不能无限累积
92|生命100%常驻，S1两次叠80%生命并再生4回合|受击回复60%承伤，S1按CD4补再生|致命不回复；S2三次主动回血第7回合停止
95|开局/友军死亡200%攻击盾3回合，盾在时40%阻绝|仅开局与死亡重发，受控可净化|破盾后阻绝同时消失，不能当常驻40%阻绝
96|致命不死10回合，1血受击减少1回合并回10%生命|间隔4行动可再触发，第33回合停止|多段可迅速消耗不死；前6回合附带减攻90%
97|首回合忧蓝200%攻击盾6回合，40%减伤常驻|盾仅一次；受击30%概率净化最多弱化友军|到期主要靠减伤，净化不保证覆盖自身
99|驱散成功后来源防御2回合|双主动每次自损2次，无自疗|小额条件防御无法抵消长期自损
100|首回合800%攻击盾10回合|盾仅一次，复制增益每4行动可触发|不把复制未知大盾作为必得；盾长时但无固定补发
101|首回合80%生命+600%攻击盾6回合，60%减伤常驻|盾仅一次；主动弱化且反射覆盖达标时自净化|到期仅减伤与条件净化，长时大盾不等同稳定续航
102|开局1层阈值屏障|不补发，每个主动自损一次|屏障消耗后无持续防护
103|40%减伤与一次来源生命增益|受击回复40%承伤、双主动治疗可重复|无法救致命伤，S2可为其他低血友军治疗
